Name|DateofBirth|Nationality
Burch, Uriah P.|08/23/1954|Turkmenistan
Salinas, Debra S.|06/24/1974|Bahamas
Rutledge, Ifeoma O.|06/12/1942|Japan
Brady, Kelsey Z.|05/15/1956|Samoa
Green, May H.|12/29/1958|Myanmar
Mendoza, Patricia A.|06/10/1976|Egypt
Merrill, Tamara N.|12/17/1970|Cameroon
Ayers, Eaton W.|10/05/1973|Angola
Salazar, Wayne W.|11/11/1961|Qatar
Wong, Denise I.|09/13/1953|Japan
Palmer, Signe A.|02/21/1980|Saudi Arabia
Norman, Ariana Z.|07/23/1991|Yemen
Mcdowell, Lucy N.|04/11/1969|Pitcairn Islands
Martin, Mari S.|11/01/1959|Martinique
Kirkland, Jordan G.|09/14/1981|Sierra Leone
Horn, Kai J.|11/23/1945|Malta
Herrera, Joan W.|12/14/1985|Virgin Islands, United States
Glenn, Darrel N.|06/13/1976|Jordan
Shepard, Dennis N.|10/25/1949|Guam
Bruce, Raymond Z.|10/04/1987|Guam
Andrews, Ralph D.|09/27/1967|Greenland
Boyd, Ava T.|10/17/1952|Iran
Mcguire, Paul A.|02/19/1945|Kazakhstan
Mcbride, Patrick Q.|10/30/1963|Ghana
Larsen, Damian X.|11/17/1958|Israel
Jones, Dolan L.|01/16/1991|Tonga
Barnett, Wade B.|12/31/1970|Peru
Graham, Mariko J.|06/17/1974|Central African Republic
Stevenson, Brenda Z.|03/09/1979|Cameroon
Calhoun, Hilda E.|12/28/1950|Tunisia
Mcgee, Brynn H.|07/01/1941|Papua New Guinea
Reynolds, Chava I.|11/22/1948|Mongolia
Larson, Kaitlin V.|05/06/1961|Macao
Ratliff, Colleen I.|11/09/1987|Marshall Islands
Valdez, Emi P.|05/23/1949|American Samoa
Foreman, Leilani I.|12/21/1954|C̫te D'Ivoire (Ivory Coast)
Holt, Roth P.|02/04/1943|Qatar
Rodgers, Robert Y.|10/07/1951|Madagascar
Blair, Callie E.|11/08/1982|Anguilla
Fowler, Wing Y.|09/01/1968|Seychelles
Pate, Alec I.|01/25/1954|France
Hatfield, Alea N.|03/29/1951|Belgium
Boone, Jerry B.|03/11/1967|Sudan
Day, Brett C.|02/06/1969|Wallis and Futuna
Snyder, Hermione K.|01/06/1965|Northern Mariana Islands
Garcia, Flavia F.|02/20/1984|Marshall Islands
Mcguire, Beck P.|07/20/1988|Northern Mariana Islands
Buckley, Ivy Y.|08/12/1955|Malaysia
Robles, Ignacia Z.|09/02/1973|Namibia
Mercado, Michelle W.|09/16/1943|Germany
Bates, Hop X.|08/12/1952|South Georgia and The South Sandwich Islands
Justice, Kiona A.|03/09/1956|Vanuatu
Potter, Illiana O.|03/23/1955|Uruguay
Pena, Declan E.|11/02/1967|Finland
Garner, Dora V.|12/31/1973|Gambia
Hooper, Brady A.|02/07/1962|Maldives
Ewing, Violet F.|06/18/1989|Antigua and Barbuda
Oliver, Germane F.|05/10/1958|Saudi Arabia
Peck, Dominique I.|02/19/1952|United Kingdom (Great Britain)
Love, Jayme J.|10/31/1971|Latvia
Mcgee, Chantale H.|07/25/1954|Armenia
Brady, Hadley F.|12/11/1987|Nigeria
Riggs, Emily B.|01/28/1990|Lesotho
Lamb, Laith X.|02/04/1966|Kyrgyzstan
Chang, Dorothy B.|06/14/1968|Peru
Dale, Hyacinth T.|12/16/1977|Sweden
Brewer, Orla P.|05/26/1956|Greenland
Oconnor, Cyrus F.|06/12/1979|French Polynesia
Brock, Heather R.|12/27/1950|Cape Verde
Cooke, Samantha L.|06/24/1979|Israel
Long, Carla Z.|09/26/1956|South Georgia and The South Sandwich Islands
Stanley, Bo Y.|03/13/1966|Cameroon
Mcleod, Desirae I.|01/10/1960|Poland
Raymond, Avram W.|01/26/1946|Holy See (Vatican City State)
Bailey, Aiko W.|04/29/1945|Malawi
Wiley, Elmo A.|12/05/1961|Slovakia
Weber, Robert R.|12/15/1975|South Africa
Suarez, Lois B.|04/13/1960|Eritrea
Blankenship, Aileen X.|11/22/1960|Zambia
Bartlett, Ishmael A.|04/06/1967|United Kingdom (Great Britain)
Gamble, Donna O.|11/11/1947|Latvia
Rivas, Yoko O.|07/19/1958|Jersey
Chambers, Lucy R.|02/25/1966|Colombia
Little, Sloane Y.|12/08/1987|Laos
Armstrong, Galena U.|06/26/1986|Sri Lanka
Ramos, Geraldine F.|11/07/1984|Christmas Island
Nash, Kalia T.|07/10/1965|Montserrat
Garcia, Kerry P.|03/21/1944|Anguilla
Pacheco, Harding H.|07/11/1972|Tokelau
Becker, Dolan R.|07/10/1979|Macedonia
Gonzalez, Lester D.|08/07/1975|Romania
Barton, Suki C.|01/03/1958|Saint Martin
Stokes, Sopoline I.|03/22/1947|Belize
Conrad, Ella U.|04/11/1991|Pakistan
Frank, Aspen K.|06/03/1946|Albania
Harrison, Deacon L.|08/09/1989|Burkina Faso
Donaldson, Lana H.|11/05/1971|Bonaire, Sint Eustatius and Saba
Simpson, Cheyenne H.|12/13/1962|Australia
Briggs, Leo P.|06/07/1990|Guyana
Ayala, Baker E.|04/22/1950|Chile
